Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8C00 0000 0000 0000 0000 5A03 1100 001F FEFE FEFE FEFE 0000 0010 0200 1E00 0000 3021 0F0F FEFE FEFE 0000 0000 0000 8100 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7E00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7300 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8D00 0000 0000 0000 0000 5A03 1100 001F FEFE FEFE FEFE 0000 0010 0200 1E00 0000 3021 0F0F FEFE FEFE 0000 0000 0000 8100 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7E00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7300 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8E00 0000 0000 0000 0000 5A03 1100 101F FEFE FEFE FEFE 0000 0010 0200 1E00 0000 3021 0F0F FEFE FEFE 0000 0000 0000 8100 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7E00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7300 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65002402 (dev_id: 6 var_id: 5 offs:1152 rtr:1-rd ); len:   0; data:
Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8F00 0000 0000 0000 0000 5A03 1100 001F FEFE FEFE FEFE 0000 0010 0200 1E00 0000 2021 0F0F FEFE FEFE 0000 0000 0000 8100 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7E00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7300 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65002802 (dev_id: 6 var_id: 5 offs:1280 rtr:1-rd ); len:   0; data:
Id_var: 0x65002404 (dev_id: 6 var_id: 5 offs:1152 rtr:0-wr ); len: 128; data: F10F 8960 0200 8800 0000 0700 0200 0000 0000 0000 0000 0000 0000 0000 0000 0401 0100 0F0F 1F00 0010 0000 0501 5007 7F0F 1F00 0010 0000 0601 5007 700E 1F00 0010 0000 0701 0300 0F0F 2100 0010 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 105D
Id_var: 0x65002C02 (dev_id: 6 var_id: 5 offs:1408 rtr:1-rd ); len:   0; data:
Id_var: 0x65002804 (dev_id: 6 var_id: 5 offs:1280 rtr:0-wr ); len: 128; data: F10F 8961 0200 0000 0100 0000 E0BE E0BE F0FF 80A0 F0FF 00A1 F0FF 80A1 F0FF 00A2 F0FF 80A2 F0FF 00A3 F0FF 80A3 F0FF 00A4 F0FF 80A4 F0FF 00A5 F0FF 80A5 F0FF 00A6 F0FF 80A6 F0FF 00A7 F0FF 80A7 F0FF 00A8 F0FF 80A8 F0FF 00A9 F0FF 80A9 F0FF 00AA F0FF 80AA F0FF 00AB F0FF 80AB F0FF 00AC F0FF 80AC F0FF 00AD F0FF 80AD F0FF 8731
Id_var: 0x65003002 (dev_id: 6 var_id: 5 offs:1536 rtr:1-rd ); len:   0; data:
Id_var: 0x65002C04 (dev_id: 6 var_id: 5 offs:1408 rtr:0-wr ); len: 128; data: F10F 8961 0200 0100 00AE F0FF 80AE F0FF 00AF F0FF 80AF F0FF 00B0 F0FF 80B0 F0FF 00B1 F0FF 80B1 F0FF 00B2 F0FF 80B2 F0FF 00B3 F0FF 80B3 F0FF 00B4 F0FF 80B4 F0FF 00B5 F0FF 80B5 F0FF 00B6 F0FF 80B6 F0FF 00B7 F0FF 80B7 F0FF 00B8 F0FF 80B8 F0FF 00B9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 BE01
Id_var: 0x65003402 (dev_id: 6 var_id: 5 offs:1664 rtr:1-rd ); len:   0; data:
Id_var: 0x65003004 (dev_id: 6 var_id: 5 offs:1536 rtr:0-wr ); len: 128; data: F10F 8961 0200 0200 0000 0000 0000 0000 AFBE ADDE F0FF 80B0 F0FF 00B1 F0FF 80B1 F0FF 00B2 F0FF 80B2 F0FF 00B3 F0FF 80B3 F0FF 00B4 F0FF 80B4 F0FF 00B5 F0FF 80B5 F0FF 00B6 F0FF 80B6 F0FF 00B7 F0FF 80B7 F0FF 00B8 F0FF 80B8 F0FF 00B9 F0FF 80B9 F0FF 00BA F0FF 80BA F0FF 00BB F0FF 80BB F0FF 00BC F0FF 80BC F0FF 00BD F0FF 7BD7
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65003802 (dev_id: 6 var_id: 5 offs:1792 rtr:1-rd ); len:   0; data:
